delever --propagate: src/ov_SC04_011/ov_SC04_011_jr_8015C32C.c:func_80163EC8 -> 0 sibling(s) of class 3b27c13d8d73
delever --propagate: src/ov_SC04_011/ov_SC04_011_jr_8015C32C.c:func_8015D01C -> 132 sibling(s) of class 4ea6e9f0cbcd
  delever --apply-body: src/shared/ov/func_8015D01C__e7ca894e.h:func_8015D01C IDENTICAL on 2 object(s) (1.01 s) — KEPT, ledgered (rung D, p1)
delever --propagate: 132 of 132 sibling(s) banked, 0 refused
delever --propagate: src/ov_SC04_011/ov_SC04_011_jr_8013C98C.c:func_8013E5E8 -> 130 sibling(s) of class f30b00e65b50
  delever --apply-body: src/ov_SC02_005/ov_SC02_005_jr_8013C98C.c:func_8013E5E8 IDENTICAL on 1 object(s) (0.15 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_001/ov_SC03_001_jr_8013C98C.c:func_8013E5E8 IDENTICAL on 1 object(s) (0.11 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_MAIN_012/ov_MAIN_012_jr_8013C98C.c:func_8013E5E8 IDENTICAL on 1 object(s) (0.11 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC01_000/ov_SC01_000_jr_8013C98C.c:func_8013E5E8 IDENTICAL on 1 object(s) (0.15 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC02_037/ov_SC02_037_jr_8013C98C.c:func_8013E5E8 IDENTICAL on 1 object(s) (0.11 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC01_001/ov_SC01_001_jr_8013C98C.c:func_8013E5E8 IDENTICAL on 1 object(s) (0.09 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC01_004/ov_SC01_004_jr_8013C98C.c:func_8013E5E8 IDENTICAL on 1 object(s) (0.10 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC01_008/ov_SC01_008_jr_8013C98C.c:func_8013E5E8 IDENTICAL on 1 object(s) (0.09 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC01_009/ov_SC01_009_jr_8013C98C.c:func_8013E5E8 IDENTICAL on 1 object(s) (0.12 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC01_074/ov_SC01_074_jr_8013C98C.c:func_8013E5E8 IDENTICAL on 1 object(s) (0.12 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC01_080/ov_SC01_080_jr_8013C98C.c:func_8013E5E8 IDENTICAL on 1 object(s) (0.09 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC02_004/ov_SC02_004_jr_8013C98C.c:func_8013E5E8 IDENTICAL on 1 object(s) (0.09 s) — KEPT, ledgered (rung D, p1)
